state_fips,Code,region,division,county_name,state_name,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1999,pop1998,pop1997,pop1996,pop1995,pop1994,pop1993,pop1992,pop1991,pop1990,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006
0,110000,0,0,United States,United States,203302037,206826000,209283000,211356000,213341000,215464000,217562000,219759000,222095000,224567000,226542250,229465744,231664432,233792014,235824908,237923734,240132831,242288936,244499004,246819222,272690813,270248003,267783607,265228572,262803276,260327021,257782608,255029699,252153092,249464396,281421906,285226284,288125973,290796023,293638158,296507061,299398484
1,120000,3,6,Alabama,Alabama,3444354,3497000,3540000,3581000,3628000,3680000,3737000,3783000,3834000,3869000,3894025,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4369862,4351037,4320281,4290403,4262731,4232965,4193114,4139269,4091025,4048508,4447100,4466618,4477571,4495089,4517442,4548327,4599030
1,130000,3,6,Autauga County,Alabama,24460,25500,27200,28500,29300,29700,29900,30500,30900,32100,32259,31985,32036,32054,32134,32245,32893,33268,33636,33996,43140,42193,41293,40251,39154,38218,36976,36002,35018,34356,43671,44714,45536,46250,47376,48454,49730
1,150000,3,6,Baldwin County,Alabama,59382,60100,62400,64200,66100,67900,70200,72400,74500,76600,78556,80287,82331,83978,86752,89401,91311,93214,94649,96198,135820,132857,128770,124261,119962,115834,110873,106228,102229,98921,140415,145013,148184,151714,156902,162749,169162
1,140000,3,6,Barbour County,Alabama,22543,23100,22900,23500,23400,24900,25600,24700,24500,24400,24756,24748,24777,24798,24952,25002,24941,25102,25230,25336,26726,26936,26747,26866,26665,26788,26637,26435,26227,25452,29038,28963,28925,28723,28445,28291,28171
1,310000,3,6,Bibb County,Alabama,13812,13900,14100,14700,14400,14800,14800,15300,15400,15600,15723,15836,16020,15999,16089,16157,15918,16165,16136,16360,19601,18987,18639,18256,17988,17643,17447,17191,16956,16675,20826,21051,21031,21152,21254,21454,21482
1,340000,3,6,Blount County,Alabama,26853,27800,29300,30400,31500,32200,33000,34200,34800,36000,36459,36641,36355,36428,36790,37417,37995,38017,38250,38771,47411,46292,44897,43544,42586,41363,40992,40230,39868,39410,51024,52186,53077,54126,54939,55572,56436
1,350000,3,6,Bullock County,Alabama,11824,11400,11400,11300,11100,11100,11100,11000,11000,10800,10596,10679,10639,10686,10824,10777,10459,10891,11184,11170,11343,11325,11310,11307,11209,11191,11085,11032,11139,11022,11714,11409,11309,11284,11163,11011,10906
1,360000,3,6,Butler County,Alabama,22007,21800,21500,21200,21200,21200,21400,20900,20900,21200,21680,22186,22399,22384,22443,22427,22340,22405,22207,22035,21522,21658,21769,21801,21773,21811,21781,21772,21742,21884,21399,21142,20765,20704,20625,20642,20520
1,320000,3,6,Calhoun County,Alabama,103092,103600,103800,105000,105900,107000,112800,112800,116500,116700,119761,120814,122109,121249,121739,118644,117700,118092,117260,116381,116541,117083,117132,116577,116687,116078,116250,115749,115218,116115,112249,111178,111333,111826,111876,112242,112903
1,370000,3,6,Chambers County,Alabama,36356,36300,36100,37000,37500,37500,37900,38400,38700,39300,39191,39382,39336,39258,39073,38614,37982,37753,37385,37208,36369,36706,36640,36857,37133,37032,36997,37025,36902,36882,36583,36386,36107,35719,35476,35373,35176
1,330000,3,6,Cherokee County,Alabama,15606,16500,16900,17200,17700,18100,18600,18400,18600,18600,18760,19310,19525,19136,18989,18890,18985,19229,19517,19467,21894,21827,21601,21281,20958,20497,20174,19814,19676,19603,23988,24150,24309,24380,24452,24592,24863
1,520000,3,6,Chilton County,Alabama,25180,25600,26400,27200,27900,28600,29100,29300,29900,30500,30612,30702,30361,30734,31080,31560,31924,31994,32310,32365,37604,36926,36310,35631,34849,34195,33661,33220,33045,32520,39593,40034,40477,40928,41301,41648,41953
1,510000,3,6,Choctaw County,Alabama,16589,16500,16700,17000,16800,17200,17400,17300,16900,16900,16839,16672,16367,16594,16618,16710,16727,16557,16477,16166,15518,15829,15883,15989,15991,16050,16102,16118,15996,15984,15922,15717,15446,15295,15080,14727,14656
1,540000,3,6,Clarke County,Alabama,26724,25900,26300,26500,26900,27400,27900,28200,28400,27600,27702,28128,27946,27864,27637,27419,27363,27527,27271,27164,28756,28531,28606,28077,27938,28037,27827,27727,27503,27311,27867,27748,27489,27376,27265,27082,27248
1,530000,3,6,Clay County,Alabama,12636,12900,13200,13000,13100,13200,13400,13300,13700,13900,13703,13864,13765,13759,13667,13700,13509,13331,13266,13172,14012,13966,13841,13633,13507,13486,13467,13386,13292,13281,14254,14251,14216,14170,14034,13920,13829
1,450000,3,6,Cleburne County,Alabama,10996,11200,11400,11700,11800,12000,12100,12100,12200,12600,12595,12799,12876,12727,12630,12659,12555,12731,12745,12754,14456,14283,14090,13521,13301,13207,13162,12941,12733,12733,14123,14300,14544,14591,14486,14521,14700
1,440000,3,6,Coffee County,Alabama,34872,36400,36200,35600,35500,36500,37000,37400,37500,37800,38533,39694,39836,40248,40241,40386,40636,40394,40699,40408,42128,42222,42041,42124,42332,41986,41400,41125,40393,40256,43615,43589,43965,44425,44973,45448,46027
1,620000,3,6,Colbert County,Alabama,49632,50400,50700,51300,50800,52100,52100,53100,53300,54100,54519,54724,54069,53505,52995,52858,52481,51905,51502,51382,52552,52924,53094,52630,52421,52421,52572,52279,52253,51816,54984,54912,54703,54522,54636,54597,54766
1,640000,3,6,Conecuh County,Alabama,15645,15800,15800,15700,15500,15800,15500,15400,15800,15900,15884,15630,15526,15308,15140,15029,15006,14767,14443,14225,13728,13863,14032,14176,14086,14133,14110,14133,14275,14032,14089,13918,13721,13524,13361,13227,13403
1,630000,3,6,Coosa County,Alabama,10662,10700,10900,11400,11500,11500,11200,11500,11700,11600,11377,11447,11330,11257,11238,11033,11129,11185,11073,11073,11712,11637,11585,11551,11694,11588,11290,11071,11110,11060,12202,11819,11594,11526,11286,11133,11044
1,610000,3,6,Covington County,Alabama,34079,34600,35000,35300,36100,36200,36200,36300,36500,37100,36850,36939,36777,36861,36992,37152,36795,36740,36599,36532,37587,37461,37432,37414,37257,36922,37069,36848,36563,36509,37631,37114,36956,36875,36769,36969,37234
1,650000,3,6,Crenshaw County,Alabama,13188,13400,13500,13900,14000,13900,13900,13900,13900,14100,14110,14145,13998,13945,13896,13899,13860,13864,13830,13784,13619,13626,13694,13580,13586,13478,13557,13511,13551,13598,13665,13712,13592,13620,13622,13598,13719
1,430000,3,6,Cullman County,Alabama,52445,54300,55800,57200,57700,58100,59700,60400,61100,61500,61642,62040,62382,63084,64390,65039,65823,66387,66617,67042,75661,74944,74086,73409,72287,71451,70430,69592,68569,67791,77483,77717,77944,78399,79068,79747,80187
1,420000,3,6,Dale County,Alabama,52995,54500,49500,43900,44400,46100,44900,44700,46700,46400,47821,48621,48500,48729,48381,48458,49257,49587,50646,49985,49127,48916,49101,49453,50229,50362,49663,49793,49809,49599,49129,49147,49231,49222,48914,48489,48392
1,230000,3,6,Dallas County,Alabama,55296,55900,57100,57300,58300,58400,58200,58200,54700,54500,53981,53762,53947,53447,53331,52881,52083,50766,49669,48931,46669,46803,47109,47350,47709,47806,47996,47934,47848,48013,46365,46013,45254,44903,44517,44178,43945
1,220000,3,6,DeKalb County,Alabama,41981,43700,44800,46700,47900,50000,51200,52000,53100,53500,53658,54271,53798,53906,54148,53922,53642,53927,54164,54460,58948,58274,57653,57374,57285,57533,56484,55845,55342,54763,64452,65676,65715,66331,66912,67365,68014
1,210000,3,6,Elmore County,Alabama,33661,33900,35400,36500,38000,39700,39700,40500,41400,43000,43390,43731,44343,44515,44983,45570,46080,47566,48115,48629,63488,61985,60340,58573,57073,55475,54049,52383,50661,49470,65874,67628,68984,70430,71717,73746,75688
1,410000,3,6,Hale County,Alabama,15888,15600,15800,15900,15600,15700,15700,15800,15700,15900,15604,15570,15417,15321,15303,15028,15053,15102,15292,15390,16870,16750,16442,16358,16202,16064,15978,15912,15719,15529,17185,18295,18188,18221,18109,18200,18236
1,500000,3,6,Henry County,Alabama,13254,13500,13500,13700,14100,14300,14600,14700,14900,15000,15302,15436,15219,15147,15198,15260,15087,15155,15174,15317,15787,15798,15699,15570,15685,15743,15676,15583,15640,15417,16310,16304,16333,16405,16505,16565,16706
1,310000,3,6,Houston County,Alabama,56574,58500,61600,64000,68500,70600,71900,72800,74300,74700,74632,76238,77072,77125,77398,78035,78634,80016,80502,80706,86116,85613,85133,84699,83835,83427,83957,83254,82358,81611,88787,89502,90019,91382,92684,93964,95660
1,460000,3,6,Jackson County,Alabama,39202,40700,42200,43100,45200,47000,48100,49700,51000,51600,51407,51381,51292,50575,50179,49505,48666,48568,48423,47793,51535,51339,50704,50654,49936,49422,49290,48823,48366,47902,53926,54052,53892,53839,53671,53483,53745
 